model,task,mean_normalized_performance,se_normalized_performance
base,7,1.0,0.15461507258178267
human,7,2.8791254106463304,0.16861055260442262
llm,7,1.5712592357870145,0.08058311150162786
zeroshot_llm,7,1.9124478355596333,0.11695982243203469
COT_zeroshot_llm,7,0.807549691268836,0.11127762387649225
COT_llm,7,1.0622146895653761,0.2630069567792803
nocall,8,-0.6049868144584426,0.01485995277578054
base,8,1.0,0.043538306697075584
human,8,1.1722423758707223,0.03731594369369119
llm,8,0.2584569354522977,0.05809983312105962
zeroshot_llm,8,0.3112873056025799,0.043546618265949244
COT_zeroshot_llm,8,0.25657569356857424,0.06870491643508259
COT_llm,8,0.21763850068978935,0.05206654386704035
nocall,9,-0.5178799880068246,0.020584487498380235
base,9,1.0,0.04553636934780003
human,9,1.0495718010517694,0.04198265900825924
llm,9,0.18812182300903718,0.08617025024982491
zeroshot_llm,9,0.4181117351997921,0.07276263249487838
COT_zeroshot_llm,9,0.7967919894088584,0.03208341070391867
COT_llm,9,0.2664621244786195,0.07053635683375187
nocall,10,-0.6125799133907373,0.027929145270378545
base,10,1.0,0.05772970007368695
human,10,1.3253305260034776,0.05700313011688427
llm,10,0.8731628028358651,0.03815492439142724
zeroshot_llm,10,0.6197995314476361,0.04826229306804992
COT_zeroshot_llm,10,0.531662396670447,0.05353377528278104
COT_llm,10,0.891740963145431,0.10512594018455215
nocall,11,-0.47298244560845376,0.02001034451883584
base,11,1.0,0.03595729629004744
human,11,1.1936827691249299,0.030520574302028265
llm,11,1.1617309229081583,0.03227042466665315
zeroshot_llm,11,0.7246682681535518,0.04034871447789912
COT_zeroshot_llm,11,0.725970188771203,0.026362222308882903
COT_llm,11,0.7212135106485256,0.03595182013305147
nocall,12,-0.6429926967961036,0.039097963221887216
base,12,1.0,0.04619434016649309
human,12,1.3740191161149997,0.0599797224804395
llm,12,0.6743991199016817,0.05246928513279046
zeroshot_llm,12,0.3932914631502856,0.056237277617749354
COT_zeroshot_llm,12,0.6857048198957275,0.057694123233106256
COT_llm,12,0.8157441264403529,0.043478270303262866
nocall,13,-0.41198051892636306,0.04011109860932564
base,13,1.0,0.043101998706121525
human,13,0.8993041613178099,0.04819214252165777
llm,13,0.39915655975149655,0.04405598216357232
zeroshot_llm,13,0.30743545459714416,0.06070465623245498
COT_zeroshot_llm,13,0.580227380126454,0.04943425276490522
COT_llm,13,0.6156103041221488,0.054181164187472354
nocall,14,-0.5811015453444511,0.03507816800301969
base,14,1.0,0.028411535923273393
human,14,0.8856224367268438,0.03387584913307945
llm,14,0.5851976394884635,0.03572721429511905
zeroshot_llm,14,0.8267438754394008,0.05350419726911057
COT_zeroshot_llm,14,0.6090566831698007,0.043289953032984906
COT_llm,14,0.4302325867358996,0.043131756252690404
nocall,15,-0.45997855681688593,0.06424265118569808
base,15,1.0,0.07636267872246794
human,15,1.0314033582632667,0.08483490552553552
llm,15,0.5267392119975894,0.0741791384769322
zeroshot_llm,15,0.3925279345169185,0.07795019349308668
COT_zeroshot_llm,15,0.6334237279298462,0.14742832145435544
COT_llm,15,0.32551563896926755,0.06401387322088159
nocall,16,-0.49657075010843904,0.04272585428692219
base,16,1.0,0.030633297987620035
human,16,0.7660103291098106,0.05880368788957247
llm,16,0.6055096704451074,0.03782465084900407
zeroshot_llm,16,1.027606598787402,0.031563977168933104
COT_zeroshot_llm,16,0.21943927480669362,0.03464574073934661
COT_llm,16,1.109221640356399,0.03727106707812638
nocall,17,-0.559685651470557,0.051342098927125386
base,17,1.0,0.07384658071829425
human,17,1.204687417469504,0.04928355364458925
llm,17,1.1154017757426056,0.05989433943754182
zeroshot_llm,17,0.9073480228715752,0.03505373425447393
COT_zeroshot_llm,17,1.0185289969889302,0.09003792448425686
COT_llm,17,1.119936354950396,0.07933108481079261
nocall,18,-0.5253873849669273,0.04283942174940117
base,18,1.0,0.04587578711108316
human,18,0.957508700734732,0.09131394861585719
llm,18,0.6301130041308034,0.08871709903699783
zeroshot_llm,18,0.6290333162442494,0.08889167353506036
COT_zeroshot_llm,18,0.7951358513308644,0.04701814644034277
COT_llm,18,1.2722685113727468,0.04762215538213717
nocall,19,-0.5047277635646781,0.03127382709295923
base,19,1.0,0.03929422195402294
human,19,1.0616349722924359,0.03215926749563031
llm,19,0.7084932481642422,0.08078706209424699
zeroshot_llm,19,0.48539034538797005,0.0912849442720551
COT_zeroshot_llm,19,0.5194399289927096,0.07029942652430023
COT_llm,19,0.7779750766745321,0.02485757143605636
nocall,20,-0.5636644235971628,0.025199285909459353
base,20,1.0,0.023862453730885472
human,20,1.1271693791090363,0.04325595584241666
llm,20,0.2478025359425368,0.06586995993912302
zeroshot_llm,20,0.4910450969629223,0.077736764160984
COT_zeroshot_llm,20,0.4226065101056637,0.0644413436274398
COT_llm,20,0.9809506382218732,0.0686576038390813
nocall,21,-0.4286604531835321,0.040963089884784976
base,21,1.0,0.05329831401665321
human,21,1.0359614770131824,0.058814276620212456
llm,21,0.3244808830991368,0.024961641202414425
zeroshot_llm,21,0.5556803897428461,0.046350021394326146
COT_zeroshot_llm,21,0.17700309994937777,0.03460505848178618
COT_llm,21,0.30869053117846895,0.03311875688564531
nocall,22,-0.4465740892255859,0.05306785387965542
base,22,1.0,0.055500607210984515
human,22,1.0795321709549115,0.05271406181082444
llm,22,0.5578428859016838,0.030659950125103617
zeroshot_llm,22,0.2573768167071454,0.030737307299854702
COT_zeroshot_llm,22,0.6484180693213684,0.04857293538999584
COT_llm,22,0.6956580771898696,0.07350934708573495
nocall,23,-0.4427413034216276,0.02794399686093404
base,23,1.0,0.03064369337832663
human,23,1.012262491450798,0.031535486628745085
llm,23,0.9441669983852842,0.03667274118776732
zeroshot_llm,23,0.7135824619992706,0.041731289891019305
COT_zeroshot_llm,23,0.5112473306856926,0.02903716232318839
COT_llm,23,0.4451319750403225,0.042552727674566644
default,9,1.1213459742114709,0.024420028923939897
default,6,0.9039941526704968,0.03834896082542882
default,20,0.991906759992875,0.015790911722051146
default,7,0.8813360578962243,0.027520034717664125
default,18,0.8835164670200646,0.032419850556672444
default,17,0.8693243984242354,0.012235499775547472
default,19,1.083346609574959,0.010785906385910215
default,5,0.5271482404013889,0.03802938154375999
default,8,0.8448016540505261,0.011936683082033848
default,16,1.0511967747615012,0.026850477778799953
default,4,1.0497295348772093,0.021557017498803892
default,15,1.1525618288663417,0.013540059620650718
default,3,0.8982130478755816,0.009492629270706399
default,14,0.6470701242828982,0.05497149403836214
default,2,0.8906756469361317,0.03163820524080676
default,13,0.6896168261231246,0.04315877088677356
default,1,0.9085525789637793,0.010656469891561425
default,0,1.070181954903329,0.015820373666783835
default,12,0.863475300011603,0.013752693298715006
default,23,0.7502511125218139,0.022621433138685823
default,11,0.805629312063424,0.0190696526117265
default,22,0.9643306985316693,0.00954207628770169
default,10,1.09201168437819,0.018115044265562773
default,21,0.8701476558015054,0.01768151661000201
